AIMSflightid;AIMSaircraftregistration;AIMSflighthours;AIMSflightcycles;AIMSdelays;AIMSdelayedminutes;AIMScancellations;AIMSdate;AMOSscheduledoutofservice;AMOSunscheduledoutofservice
050212-CFU-AHO-5571-XY-LQZ;XY-LQZ;0;1;0;0;0;05-02-2012;691.93;0.0
050212-IAS-ORK-4491-XY-YTM;XY-YTM;0;0;0;0;1;05-02-2012;0.0;0.47
050212-INN-FUE-3449-XY-JXR;XY-JXR;0;0;0;0;1;05-02-2012;0.0;10.81
050212-KIV-NCE-4348-XY-IWX;XY-IWX;0;0;0;0;1;05-02-2012;0.0;0.47
050212-LBA-ORK-4539-XY-OFW;XY-OFW;3;1;1;45;0;05-02-2012;9.67;0.0
050212-MAN-NRN-2522-XY-ZWJ;XY-ZWJ;0;0;0;0;1;05-02-2012;0.0;10.81
050212-PEG-GYD-7387-XY-LYP;XY-LYP;1;1;1;24;0;05-02-2012;0.0;10.81
050212-PMO-OST-8919-XY-ZDY;XY-ZDY;2;1;0;0;0;05-02-2012;358.47;0.0
050212-RMU-BCN-2773-XY-YTM;XY-YTM;2;1;1;45;0;05-02-2012;0.0;0.47
050212-TZL-AES-8137-XY-OHF;XY-OHF;3;1;0;0;0;05-02-2012;0.0;1011.62
050213-BDS-FRA-2585-XY-NHZ;XY-NHZ;0;0;0;0;1;06-02-2013;0.0;0.47
050213-BGY-INN-3237-XY-NHZ;XY-NHZ;1;1;1;37;0;05-02-2013;13.4;0.0
050213-CLJ-EMA-3394-XY-JXR;XY-JXR;0;0;0;0;1;05-02-2013;0.0;1319.98
050213-EGC-ODS-6761-XY-CMJ;XY-CMJ;0;0;0;0;1;05-02-2013;550.67;0.0
050213-EGC-PMI-9941-XY-OFW;XY-OFW;0;0;0;0;1;05-02-2013;43.17;0.0
050213-EGC-RNS-5511-XY-FBA;XY-FBA;0;0;0;0;1;05-02-2013;0.0;0.47
050213-EXT-BVA-7784-XY-OHF;XY-OHF;0;1;1;45;0;05-02-2013;0.0;0.47
050213-FCO-PIK-4842-XY-LYP;XY-LYP;0;1;1;9;0;05-02-2013;0.0;0.47
050213-FUE-INI-7678-XY-YTM;XY-YTM;1;1;1;31;0;05-02-2013;304.97;0.0
050213-KIR-ORK-5867-XY-ZWJ;XY-ZWJ;2;1;0;0;0;05-02-2013;159.5;0.0
050213-MLA-BTS-5839-XY-ZWJ;XY-ZWJ;2;1;1;26;0;05-02-2013;159.5;0.0
050213-MPL-BLQ-8524-XY-NMY;XY-NMY;0;0;0;0;1;05-02-2013;586.88;0.0
050213-PUY-TZL-3418-XY-IOO;XY-IOO;3;1;1;27;0;05-02-2013;24.0;0.0
050213-RVN-ZTH-7224-XY-FBA;XY-FBA;2;1;1;32;0;05-02-2013;0.0;0.47
050213-SNN-VAA-6346-XY-YAZ;XY-YAZ;0;0;0;0;1;05-02-2013;0.0;10.81
050213-VNO-AJA-6577-XY-PZC;XY-PZC;0;0;0;0;1;05-02-2013;0.0;1348.37
050214-ABZ-BIQ-4125-XY-ZDY;XY-ZDY;0;1;1;25;0;05-02-2014;12.28;0.0
050214-AES-CRL-3438-XY-OZH;XY-OZH;0;0;0;0;1;05-02-2014;107.57;0.0
050214-AGP-ZAD-9597-XY-MBJ;XY-MBJ;0;1;1;38;0;05-02-2014;0.0;10.81
050214-BIO-TKU-9143-XY-LQZ;XY-LQZ;0;0;0;0;1;05-02-2014;0.0;10.81
050214-CGN-PDL-8476-XY-ZDY;XY-ZDY;2;1;1;10;0;05-02-2014;12.28;0.0
050214-CIA-RUN-2733-XY-LQZ;XY-LQZ;1;1;1;45;0;05-02-2014;0.0;10.81
050214-EDI-OTP-6642-XY-IWX;XY-IWX;0;0;0;0;1;05-02-2014;4.33;0.0
050214-ESB-ACE-1861-XY-ZMF;XY-ZMF;1;1;1;27;0;05-02-2014;9.07;0.0
050214-FSC-HAM-3855-XY-ALV;XY-ALV;2;1;1;39;0;05-02-2014;0.0;278.42
050214-GLA-SXF-7675-XY-LYP;XY-LYP;1;1;1;27;0;05-02-2014;0.0;1505.3
050214-LEJ-AYT-3678-XY-YAZ;XY-YAZ;0;0;0;0;1;05-02-2014;0.0;434.78
050214-LEJ-BJV-9691-XY-OHF;XY-OHF;0;0;0;0;1;05-02-2014;0.0;10.81
050214-LIN-ALA-1996-XY-OFW;XY-OFW;0;0;0;0;1;05-02-2014;2.8;0.0
050214-LUX-BTS-8862-XY-MBJ;XY-MBJ;1;1;0;0;0;05-02-2014;0.0;10.81
050214-OTP-LIN-1197-XY-ALV;XY-ALV;0;0;0;0;1;05-02-2014;0.0;278.42
050214-RUN-OUL-3351-XY-CMJ;XY-CMJ;0;0;0;0;1;05-02-2014;0.0;0.47
050214-SDR-IBZ-6767-XY-OZH;XY-OZH;0;0;0;0;1;05-02-2014;107.57;0.0
050214-STR-GRZ-2113-XY-YAZ;XY-YAZ;1;1;1;26;0;05-02-2014;0.0;434.78
050214-TLN-KIR-3123-XY-CMJ;XY-CMJ;2;1;1;34;0;05-02-2014;0.0;0.47
050214-ZAD-BHD-5441-XY-PZC;XY-PZC;0;0;0;0;1;05-02-2014;0.0;0.47
050214-ZAG-MAN-1119-XY-LQZ;XY-LQZ;0;1;1;29;0;06-02-2014;0.0;0.47
050215-AMS-SDR-4559-XY-ZWJ;XY-ZWJ;1;1;1;44;0;06-02-2015;0.0;1142.48
050215-BHX-IST-3474-XY-JXR;XY-JXR;1;1;1;23;0;05-02-2015;24.0;0.0
050215-BIO-VST-7867-XY-IOO;XY-IOO;0;1;1;29;0;05-02-2015;262.9;0.0
050215-CTA-FMO-5993-XY-ZWJ;XY-ZWJ;2;1;1;47;0;05-02-2015;0.0;10.81
050215-DUB-TSF-4212-XY-NHZ;XY-NHZ;4;1;1;24;0;05-02-2015;0.0;895.75
050215-FMO-FNC-3976-XY-ZMF;XY-ZMF;2;1;0;0;0;05-02-2015;0.0;10.81
050215-FSC-CIA-5761-XY-OFW;XY-OFW;3;1;1;35;0;05-02-2015;0.0;10.81
050215-GRZ-CDG-3412-XY-LQZ;XY-LQZ;0;0;0;0;1;05-02-2015;0.0;10.81
050215-GRZ-FAE-9215-XY-YAZ;XY-YAZ;0;0;0;0;1;05-02-2015;0.0;0.47
050215-GVA-NCL-6746-XY-YTM;XY-YTM;0;0;0;0;1;05-02-2015;0.0;10.81
050215-KLU-SPU-2926-XY-ZMF;XY-ZMF;2;1;1;35;0;05-02-2015;0.0;10.81
050215-LPL-HUY-4488-XY-LQZ;XY-LQZ;0;0;0;0;1;05-02-2015;0.0;10.81
050215-ORK-SAW-4299-XY-YAZ;XY-YAZ;0;0;0;0;1;05-02-2015;0.0;0.47
050215-RIX-PDL-4543-XY-YAZ;XY-YAZ;0;0;0;0;1;05-02-2015;0.0;0.47
050215-SPU-ANR-3672-XY-ALV;XY-ALV;0;1;1;19;0;05-02-2015;8.02;0.0
050215-TBS-OVB-2941-XY-ZDY;XY-ZDY;3;1;1;32;0;05-02-2015;0.0;10.81
050215-TPS-BMA-8234-XY-OZH;XY-OZH;2;1;1;25;0;05-02-2015;406.78;0.0
050215-TSR-DSA-1346-XY-PZC;XY-PZC;0;0;0;0;1;05-02-2015;123.87;0.0
050215-ZAG-GRO-4151-XY-NMY;XY-NMY;3;1;1;33;0;05-02-2015;0.0;1969.95
050215-ZRH-BMA-9447-XY-OFW;XY-OFW;2;1;1;41;0;05-02-2015;0.0;10.81
050216-KRK-LCA-8869-XY-JXR;XY-JXR;2;1;1;21;0;06-02-2016;0.0;0.47
050216-LTN-BLL-8132-XY-NHZ;XY-NHZ;0;0;0;0;1;05-02-2016;0.0;10.81
050216-OUL-LIL-6427-XY-LQZ;XY-LQZ;2;1;1;43;0;05-02-2016;0.0;10.81
050216-PEG-TPS-7484-XY-IOO;XY-IOO;3;1;1;35;0;05-02-2016;0.0;10.81
050216-PSA-INI-3489-XY-IWX;XY-IWX;0;0;0;0;1;05-02-2016;150.18;0.0
050216-RIX-GOT-7628-XY-ZWJ;XY-ZWJ;0;0;0;0;1;05-02-2016;550.58;0.0
050216-SPC-OSL-8568-XY-LYP;XY-LYP;3;1;1;32;0;05-02-2016;0.0;10.81
050216-SVG-FCO-9761-XY-ZWJ;XY-ZWJ;0;0;0;0;1;05-02-2016;550.58;0.0
050216-TZL-VAA-3414-XY-OHF;XY-OHF;0;0;0;0;1;05-02-2016;561.07;0.0
050216-VNO-CGN-7178-XY-OFW;XY-OFW;0;0;0;0;1;05-02-2016;0.0;10.81
050216-WRO-RUN-7189-XY-ZDY;XY-ZDY;3;1;0;0;0;05-02-2016;0.0;0.47
050216-ZAD-KRK-6953-XY-YAZ;XY-YAZ;4;1;1;37;0;05-02-2016;0.0;10.81
050216-ZAD-LTN-5714-XY-JXR;XY-JXR;0;1;1;31;0;05-02-2016;0.0;782.62
050310-AAL-CPH-4597-XY-IWX;XY-IWX;0;0;0;0;1;05-03-2010;0.0;0.47
050310-AOI-DBV-6214-XY-YAZ;XY-YAZ;1;1;1;32;0;05-03-2010;627.45;0.0
050310-AOI-ZAD-4429-XY-IWX;XY-IWX;2;1;1;9;0;05-03-2010;0.0;0.47
050310-BSL-LIL-7536-XY-IOO;XY-IOO;1;1;1;31;0;05-03-2010;24.0;0.0
050310-BTS-IST-4841-XY-CMJ;XY-CMJ;3;1;1;25;0;05-03-2010;0.0;592.98
050310-CIA-ZAD-2882-XY-MBJ;XY-MBJ;0;0;0;0;1;05-03-2010;22.32;0.0
050310-DUS-ARN-2452-XY-FBA;XY-FBA;0;1;1;28;0;05-03-2010;371.85;0.0
050310-EIN-TZL-3616-XY-FBA;XY-FBA;0;0;0;0;1;05-03-2010;371.85;0.0
050310-GRZ-AES-4815-XY-ZWJ;XY-ZWJ;0;0;0;0;1;05-03-2010;363.9;0.0
050310-GVA-LED-3517-XY-YAZ;XY-YAZ;0;0;0;0;1;05-03-2010;627.45;0.0
050310-GVA-TMP-3722-XY-OZH;XY-OZH;0;0;0;0;1;05-03-2010;0.0;0.47
050310-GYD-ARN-4414-XY-ZWJ;XY-ZWJ;0;0;0;0;1;05-03-2010;363.9;0.0
050310-HER-JER-5384-XY-ZMF;XY-ZMF;0;0;0;0;1;05-03-2010;12.63;0.0
050310-IEV-FDH-5933-XY-ZDY;XY-ZDY;0;0;0;0;1;05-03-2010;4.98;0.0
050310-INI-FCO-4648-XY-ZMF;XY-ZMF;0;0;0;0;1;05-03-2010;12.63;0.0
050310-INI-NAP-1299-XY-NMY;XY-NMY;0;0;0;0;1;05-03-2010;0.0;10.81
050310-INN-NCE-1349-XY-OZH;XY-OZH;3;1;1;12;0;05-03-2010;0.0;0.47
050310-LIS-HAU-5892-XY-NMY;XY-NMY;2;1;1;37;0;05-03-2010;0.0;10.81
050310-LIS-KIR-5758-XY-JXR;XY-JXR;0;0;0;0;1;05-03-2010;24.0;0.0
050310-NUE-OLB-7748-XY-LYP;XY-LYP;0;0;0;0;1;06-03-2010;61.28;0.0
050310-REU-CLJ-4462-XY-IOO;XY-IOO;0;0;0;0;1;05-03-2010;24.0;0.0
050310-RHO-LBA-9175-XY-ZMF;XY-ZMF;1;1;1;30;0;05-03-2010;12.63;0.0
050310-SPU-TGD-1916-XY-LQZ;XY-LQZ;1;1;1;23;0;05-03-2010;17.98;0.0
050310-TIV-TMP-2128-XY-OZH;XY-OZH;0;0;0;0;1;05-03-2010;0.0;0.47
050310-TSE-ADA-6992-XY-LQZ;XY-LQZ;0;0;0;0;1;05-03-2010;17.98;0.0
050310-VKO-KEF-5529-XY-OFW;XY-OFW;2;1;1;10;0;05-03-2010;151.7;0.0
050311-ALC-OVD-1169-XY-LQZ;XY-LQZ;3;1;1;32;0;05-03-2011;0.0;0.47
050311-BFS-FKB-3632-XY-PZC;XY-PZC;0;0;0;0;1;05-03-2011;635.18;0.0
050311-BRE-LNZ-7861-XY-OFW;XY-OFW;2;1;1;36;0;05-03-2011;0.0;10.81
050311-CDG-TLL-8412-XY-LYP;XY-LYP;2;1;1;25;0;05-03-2011;24.0;0.0
050311-CHQ-PDL-8194-XY-ALV;XY-ALV;0;1;1;17;0;05-03-2011;498.03;0.0
050311-CRL-TRD-9244-XY-OHF;XY-OHF;2;1;0;0;0;05-03-2011;9.08;0.0
050311-EGC-RMU-8156-XY-OHF;XY-OHF;0;0;0;0;1;05-03-2011;9.08;0.0
050311-FAE-IAS-2885-XY-ZWJ;XY-ZWJ;2;1;0;0;0;05-03-2011;103.18;0.0
050311-HAM-PMI-5566-XY-FBA;XY-FBA;2;1;1;16;0;05-03-2011;8.97;0.0
050311-IBZ-MUC-6489-XY-JXR;XY-JXR;0;0;0;0;1;06-03-2011;0.0;10.81
050311-INN-BOD-7444-XY-ALV;XY-ALV;2;1;0;0;0;05-03-2011;498.03;0.0
050311-INN-VRN-7728-XY-NHZ;XY-NHZ;0;0;0;0;1;05-03-2011;0.0;10.81
050311-IST-LED-2318-XY-IOO;XY-IOO;2;1;1;14;0;05-03-2011;0.0;0.47
050311-KEF-KTW-2714-XY-IWX;XY-IWX;2;1;0;0;0;05-03-2011;0.0;658.77
050311-NTE-ZTH-3998-XY-LYP;XY-LYP;3;1;1;48;0;05-03-2011;24.0;0.0
050311-PMI-MPL-6514-XY-LQZ;XY-LQZ;0;0;0;0;1;05-03-2011;0.0;0.47
050311-RHO-NUE-5587-XY-ALV;XY-ALV;2;1;0;0;0;05-03-2011;498.03;0.0
050311-SVO-HUY-9548-XY-OFW;XY-OFW;0;0;0;0;1;05-03-2011;0.0;10.81
050311-TIA-OVD-4875-XY-ZMF;XY-ZMF;0;0;0;0;1;05-03-2011;23.0;0.0
050311-TXL-BOD-9917-XY-IWX;XY-IWX;0;0;0;0;1;05-03-2011;0.0;658.77
050312-BEG-DBV-3328-XY-ZMF;XY-ZMF;0;0;0;0;1;05-03-2012;0.0;10.81
050312-CLJ-TRF-7478-XY-NMY;XY-NMY;0;0;0;0;1;05-03-2012;0.0;0.47
050312-EMA-PSA-8113-XY-OFW;XY-OFW;0;0;0;0;1;05-03-2012;0.0;0.47
050312-FNC-BTS-8133-XY-CMJ;XY-CMJ;1;1;1;42;0;05-03-2012;0.0;0.47
050312-FSC-FAE-3431-XY-LQZ;XY-LQZ;0;1;1;37;0;05-03-2012;0.0;10.81
050312-LCA-CIA-1721-XY-ALV;XY-ALV;2;1;1;29;0;05-03-2012;515.43;0.0
050312-LED-ALA-5361-XY-JXR;XY-JXR;0;0;0;0;1;05-03-2012;0.0;0.47
050312-LJU-DTM-8913-XY-CMJ;XY-CMJ;0;0;0;0;1;05-03-2012;0.0;0.47
050312-MRS-AES-9552-XY-NHZ;XY-NHZ;0;0;0;0;1;05-03-2012;0.0;701.83
050312-NAP-EMA-8748-XY-FBA;XY-FBA;0;1;1;30;0;05-03-2012;0.0;953.8
050312-OUL-BMA-6952-XY-FBA;XY-FBA;3;1;1;13;0;05-03-2012;0.0;953.8
050312-TLL-IAS-5684-XY-OZH;XY-OZH;0;0;0;0;1;05-03-2012;0.0;0.47
050312-TLN-CHQ-2922-XY-LYP;XY-LYP;1;1;1;42;0;05-03-2012;0.0;1355.82
050312-TSE-LUX-6839-XY-OHF;XY-OHF;3;1;1;23;0;05-03-2012;0.0;10.81
050312-VLC-SAW-4384-XY-ZMF;XY-ZMF;0;1;0;0;0;05-03-2012;0.0;10.81
050312-XRY-VKO-6915-XY-OFW;XY-OFW;0;0;0;0;1;05-03-2012;0.0;0.47
050313-CFU-OST-4883-XY-FBA;XY-FBA;2;1;0;0;0;05-03-2013;0.0;0.47
050313-FAE-SVO-3342-XY-IOO;XY-IOO;0;0;0;0;1;05-03-2013;0.0;10.81
050313-GRQ-SJJ-9448-XY-LQZ;XY-LQZ;0;0;0;0;1;05-03-2013;0.0;10.81
050313-LED-CHQ-4199-XY-OFW;XY-OFW;0;0;0;0;1;05-03-2013;0.0;253.02
050313-OSL-OVD-9151-XY-IOO;XY-IOO;3;1;1;38;0;05-03-2013;0.0;10.81
050313-SKG-WAW-3229-XY-LQZ;XY-LQZ;0;0;0;0;1;05-03-2013;0.0;10.81
050313-SVG-TBS-5365-XY-NMY;XY-NMY;1;1;1;43;0;05-03-2013;0.0;10.81
050313-TIV-FNC-2414-XY-MBJ;XY-MBJ;0;1;1;23;0;05-03-2013;267.43;0.0
050313-ZAZ-ORY-8665-XY-YTM;XY-YTM;0;0;0;0;1;05-03-2013;0.0;10.81
050314-ADA-VAA-2748-XY-OZH;XY-OZH;0;1;1;41;0;05-03-2014;7.78;0.0
050314-AES-BIA-1751-XY-YAZ;XY-YAZ;0;0;0;0;1;05-03-2014;0.0;0.47
050314-ARN-FUE-9538-XY-PZC;XY-PZC;2;1;1;29;0;05-03-2014;0.0;10.81
050314-BCN-BIA-4166-XY-OZH;XY-OZH;1;1;1;16;0;06-03-2014;478.05;0.0
050314-BDS-BRN-3742-XY-OZH;XY-OZH;0;0;0;0;1;05-03-2014;7.78;0.0
050314-BHD-CAG-2627-XY-FBA;XY-FBA;0;0;0;0;1;05-03-2014;20.02;0.0
050314-BIQ-BGY-5164-XY-OFW;XY-OFW;1;1;1;42;0;06-03-2014;0.0;404.55
050314-EGC-DSA-9373-XY-JXR;XY-JXR;0;0;0;0;1;05-03-2014;0.0;10.81
050314-FAE-LEJ-2926-XY-ALV;XY-ALV;1;1;1;38;0;05-03-2014;0.0;561.55
050314-FKB-ZTH-7249-XY-LQZ;XY-LQZ;0;0;0;0;1;05-03-2014;83.55;0.0
050314-FRA-VST-1749-XY-OHF;XY-OHF;1;1;1;9;0;05-03-2014;0.0;1820.53
050314-GRZ-ARN-3628-XY-NHZ;XY-NHZ;0;1;0;0;0;05-03-2014;0.0;0.47
050314-HAU-GOA-4849-XY-CMJ;XY-CMJ;0;0;0;0;1;05-03-2014;0.0;844.95
050314-INI-FNC-5767-XY-ZWJ;XY-ZWJ;0;0;0;0;1;05-03-2014;24.0;0.0
050314-MAN-BRI-2226-XY-ZDY;XY-ZDY;1;1;1;26;0;05-03-2014;0.0;10.81
050314-PDL-BOD-2446-XY-ZMF;XY-ZMF;0;0;0;0;1;05-03-2014;24.0;0.0
050314-PEG-HEL-3392-XY-LQZ;XY-LQZ;0;0;0;0;1;05-03-2014;83.55;0.0
050314-PFO-FAE-3841-XY-FBA;XY-FBA;2;1;1;19;0;05-03-2014;20.02;0.0
050314-SCQ-SXB-3515-XY-YAZ;XY-YAZ;0;0;0;0;1;05-03-2014;0.0;0.47
050314-SKP-HAU-2132-XY-PZC;XY-PZC;2;1;1;7;0;05-03-2014;0.0;10.81
050315-BCN-SZG-3742-XY-LQZ;XY-LQZ;0;0;0;0;1;05-03-2015;24.0;0.0
050315-LBA-ZAD-7136-XY-NHZ;XY-NHZ;0;0;0;0;1;05-03-2015;0.0;10.81
050315-NOC-ALA-4161-XY-YTM;XY-YTM;0;0;0;0;1;05-03-2015;24.0;0.0
050315-ORY-WAW-4358-XY-NMY;XY-NMY;1;1;1;8;0;05-03-2015;19.35;0.0
050315-PMO-LHR-1469-XY-IWX;XY-IWX;4;1;1;19;0;05-03-2015;0.0;0.47
050315-SAW-ALA-7763-XY-PZC;XY-PZC;2;1;1;34;0;05-03-2015;24.0;0.0
050315-SOU-BSL-4472-XY-MBJ;XY-MBJ;1;1;1;36;0;05-03-2015;0.0;0.47
050315-TIV-KSC-5666-XY-LYP;XY-LYP;1;1;1;43;0;05-03-2015;488.75;0.0
050315-VST-PFO-3416-XY-JXR;XY-JXR;1;1;0;0;0;05-03-2015;0.0;0.47
050316-ABZ-GOA-7362-XY-OZH;XY-OZH;0;0;0;0;1;05-03-2016;0.0;417.4
050316-ALA-GRO-1525-XY-LYP;XY-LYP;0;1;1;47;0;05-03-2016;291.95;0.0
050316-AOI-ATH-7453-XY-IWX;XY-IWX;1;1;1;24;0;05-03-2016;14.85;0.0
050316-CRL-BUD-9897-XY-FBA;XY-FBA;0;0;0;0;1;05-03-2016;173.87;0.0
050316-EMA-FAO-3765-XY-YAZ;XY-YAZ;1;1;1;32;0;05-03-2016;584.17;0.0
050316-FNC-MLA-2321-XY-JXR;XY-JXR;0;1;1;39;0;05-03-2016;0.0;1459.87
050316-HUY-SCQ-8156-XY-FBA;XY-FBA;0;0;0;0;1;05-03-2016;173.87;0.0
050316-LCY-AAL-1629-XY-IWX;XY-IWX;0;0;0;0;1;05-03-2016;14.85;0.0
050316-MXP-OPO-9978-XY-IWX;XY-IWX;2;1;1;36;0;05-03-2016;14.85;0.0
050316-PDL-EVN-1428-XY-FBA;XY-FBA;1;1;0;0;0;05-03-2016;173.87;0.0
050316-SKG-KIR-2592-XY-NMY;XY-NMY;3;1;1;32;0;05-03-2016;333.33;0.0
050316-SKG-PDL-2838-XY-YAZ;XY-YAZ;4;1;1;44;0;05-03-2016;584.17;0.0
050316-TKU-PMO-1533-XY-IOO;XY-IOO;0;0;0;0;1;05-03-2016;0.0;10.81
050316-ZRH-FAO-1887-XY-NMY;XY-NMY;2;1;1;14;0;05-03-2016;333.33;0.0
050410-ALC-IAS-9839-XY-NHZ;XY-NHZ;0;0;0;0;1;05-04-2010;0.0;1189.07
050410-BGO-AAR-3991-XY-OFW;XY-OFW;2;1;1;26;0;05-04-2010;678.83;0.0
050410-BIA-VLC-8767-XY-ALV;XY-ALV;0;1;0;0;0;05-04-2010;0.0;0.47
050410-BTS-GOA-1361-XY-CMJ;XY-CMJ;0;0;0;0;1;05-04-2010;0.0;563.92
050410-DRS-SDR-9295-XY-IWX;XY-IWX;0;0;0;0;1;05-04-2010;16.48;0.0
050410-GLA-KRS-2751-XY-OHF;XY-OHF;2;1;1;49;0;05-04-2010;24.0;0.0
050410-GRZ-ADA-2876-XY-PZC;XY-PZC;1;1;1;14;0;06-04-2010;0.0;0.47
050410-OPO-LNZ-2155-XY-OFW;XY-OFW;0;0;0;0;1;05-04-2010;678.83;0.0
050410-PEG-TZX-9688-XY-YAZ;XY-YAZ;2;1;1;10;0;05-04-2010;0.0;10.81
050410-RIX-BCN-5618-XY-ALV;XY-ALV;0;0;0;0;1;05-04-2010;0.0;0.47
050410-SEN-TLL-5833-XY-NHZ;XY-NHZ;3;1;1;18;0;05-04-2010;0.0;1189.07
050410-SVO-TSE-4368-XY-ZDY;XY-ZDY;0;0;0;0;1;05-04-2010;0.0;840.95
050410-SVX-AAR-1594-XY-YTM;XY-YTM;2;1;0;0;0;05-04-2010;0.0;10.81
050410-TGD-BGY-8452-XY-CMJ;XY-CMJ;0;0;0;0;1;05-04-2010;0.0;563.92
050410-TRD-KIV-1254-XY-LQZ;XY-LQZ;1;1;0;0;0;05-04-2010;0.0;10.81
050410-TSR-AMS-9217-XY-OZH;XY-OZH;0;0;0;0;1;05-04-2010;0.0;723.53
050411-GOT-ALC-3686-XY-CMJ;XY-CMJ;0;0;0;0;1;05-04-2011;190.2;0.0
050411-KUN-JMK-7465-XY-PZC;XY-PZC;0;0;0;0;1;05-04-2011;10.53;0.0
050411-LPA-KUN-8138-XY-FBA;XY-FBA;0;0;0;0;1;05-04-2011;0.0;0.47
050411-LYS-SAW-9372-XY-LQZ;XY-LQZ;0;0;0;0;1;05-04-2011;24.0;0.0
050411-NYO-SNN-3599-XY-JXR;XY-JXR;0;0;0;0;1;05-04-2011;468.1;0.0
050411-PRG-AYT-8249-XY-LQZ;XY-LQZ;0;0;0;0;1;05-04-2011;24.0;0.0
050411-PRG-DTM-3268-XY-NMY;XY-NMY;3;1;1;19;0;05-04-2011;0.0;10.81
050411-PSR-HER-4931-XY-JXR;XY-JXR;4;1;1;40;0;05-04-2011;468.1;0.0
050411-SPC-BMA-3734-XY-NHZ;XY-NHZ;0;0;0;0;1;05-04-2011;671.65;0.0
050411-SXB-ADB-8878-XY-IWX;XY-IWX;0;1;1;14;0;05-04-2011;0.0;1231.38
050411-TFN-CHQ-4852-XY-NMY;XY-NMY;0;0;0;0;1;06-04-2011;0.0;0.47
050411-TKU-CDG-7975-XY-OFW;XY-OFW;0;0;0;0;1;05-04-2011;4.55;0.0
050412-BHD-SKP-7726-XY-NMY;XY-NMY;1;1;0;0;0;05-04-2012;0.0;0.47
050412-BRE-FNC-3559-XY-IWX;XY-IWX;0;0;0;0;1;05-04-2012;0.0;1864.18
050412-KIR-VAR-3279-XY-IWX;XY-IWX;0;1;1;39;0;05-04-2012;0.0;1864.18
050412-KRS-PUY-5692-XY-MBJ;XY-MBJ;0;0;0;0;1;05-04-2012;21.67;0.0
050412-LPA-XRY-1131-XY-ZWJ;XY-ZWJ;1;1;1;9;0;06-04-2012;0.0;10.81
050412-MRS-AAR-7157-XY-ALV;XY-ALV;0;1;1;48;0;05-04-2012;24.0;0.0
050412-MXP-HER-7185-XY-OHF;XY-OHF;0;0;0;0;1;05-04-2012;0.0;10.81
050412-OVB-BIO-4533-XY-IOO;XY-IOO;0;0;0;0;1;05-04-2012;24.0;0.0
050412-SEN-OSL-3171-XY-NHZ;XY-NHZ;1;1;1;13;0;05-04-2012;3.37;0.0
050412-TSE-PSA-9788-XY-JXR;XY-JXR;0;0;0;0;1;05-04-2012;542.2;0.0
050412-VNO-LHR-9785-XY-IOO;XY-IOO;1;1;0;0;0;05-04-2012;24.0;0.0
050412-VRN-SJJ-6886-XY-PZC;XY-PZC;2;1;1;10;0;05-04-2012;0.0;10.81
050412-ZTH-CIA-8186-XY-MBJ;XY-MBJ;0;1;1;12;0;05-04-2012;21.67;0.0
050413-ATH-FSC-4763-XY-ZWJ;XY-ZWJ;0;0;0;0;1;05-04-2013;0.0;0.47
050413-BER-ANR-6395-XY-OZH;XY-OZH;1;1;1;10;0;05-04-2013;0.0;10.81
050413-BGY-DRS-3422-XY-LQZ;XY-LQZ;0;1;1;28;0;05-04-2013;0.0;0.47
050413-BIQ-KTW-2365-XY-OFW;XY-OFW;0;0;0;0;1;05-04-2013;0.0;645.35
050413-BMA-AMS-1249-XY-ALV;XY-ALV;0;0;0;0;1;05-04-2013;0.0;0.47
050413-BRU-LCY-1236-XY-ZDY;XY-ZDY;1;1;1;24;0;05-04-2013;0.0;0.47
050413-CHQ-GVA-7262-XY-ZDY;XY-ZDY;0;0;0;0;1;05-04-2013;0.0;0.47
050413-FRA-AMS-8799-XY-MBJ;XY-MBJ;0;0;0;0;1;05-04-2013;0.0;0.47
050413-NCE-RNS-8542-XY-FBA;XY-FBA;1;1;1;21;0;05-04-2013;24.0;0.0
050413-OPO-VKO-4499-XY-IOO;XY-IOO;0;0;0;0;1;05-04-2013;21.98;0.0
050413-OVB-OUL-7885-XY-FBA;XY-FBA;0;0;0;0;1;05-04-2013;24.0;0.0
050413-SKG-NCE-4757-XY-ALV;XY-ALV;2;1;1;24;0;05-04-2013;0.0;0.47
050413-SOF-CIY-7315-XY-NHZ;XY-NHZ;4;1;1;26;0;05-04-2013;296.73;0.0
050413-SOU-BRI-7968-XY-JXR;XY-JXR;0;0;0;0;1;05-04-2013;24.0;0.0
050413-SXB-FLR-8675-XY-YTM;XY-YTM;0;0;0;0;1;05-04-2013;0.0;1150.68
050413-SXF-LGW-3464-XY-NMY;XY-NMY;0;0;0;0;1;05-04-2013;0.0;0.47
050413-TOS-SVG-7639-XY-NHZ;XY-NHZ;0;0;0;0;1;05-04-2013;296.73;0.0
050413-TRN-AOI-5828-XY-ZWJ;XY-ZWJ;1;1;1;13;0;05-04-2013;0.0;0.47
050414-BRS-TIA-1874-XY-IWX;XY-IWX;3;1;1;33;0;05-04-2014;24.0;0.0
050414-DLM-OUL-5181-XY-LQZ;XY-LQZ;0;1;1;18;0;05-04-2014;7.43;0.0
050414-DTM-ORK-3774-XY-JXR;XY-JXR;1;1;1;47;0;05-04-2014;0.0;10.81
050414-DUB-FSC-5246-XY-ZWJ;XY-ZWJ;4;1;1;17;0;05-04-2014;24.0;0.0
