AIMSaircraftregistration;AIMSflighthours;AIMSflightcycles;AIMSdelays;AIMSdelayedminutes;AIMScancellations;date;AMOS_scheduledOutOfService;AMOS_unscheduledOutOfService
XY-YTM;2;1;1;21;0;24-02-2016;0;11
XY-YTM;2;1;1;43;0;24-02-2014;24;0
XY-NMY;0;0;0;0;1;27-05-2010;467;0
XY-NMY;0;0;0;0;1;27-05-2011;0;0
XY-NMY;2;1;1;21;0;27-05-2012;0;1112
XY-NMY;0;0;0;0;1;27-05-2013;24;0
XY-NMY;0;0;0;0;1;27-05-2014;19;0
XY-NMY;0;1;1;28;0;27-05-2016;0;11
XY-IWX;0;1;0;0;0;30-12-2015;0;1307
XY-IWX;0;0;0;0;3;30-12-2016;0;1079
XY-ZMF;2;1;1;44;1;26-08-2010;0;22
XY-ZMF;0;0;0;0;1;26-08-2014;23;0
XY-ZMF;0;1;0;0;0;26-08-2015;0;0
XY-MBJ;1;1;0;0;0;18-08-2015;0;0
XY-MBJ;0;0;0;0;1;18-08-2011;0;11
XY-MBJ;0;0;0;0;1;18-08-2013;24;0
XY-MBJ;0;1;1;36;0;18-08-2012;18;0
XY-NHZ;2;1;1;48;1;25-01-2014;1047;0
XY-NHZ;0;0;0;0;1;25-01-2016;0;11
XY-ZDY;0;0;0;0;1;16-04-2014;0;0
XY-NHZ;0;0;0;0;1;25-01-2010;0;1409
XY-NHZ;3;1;1;29;0;26-04-2015;678;0
XY-NHZ;0;0;0;0;1;26-04-2014;24;0
XY-NHZ;0;0;0;0;1;25-01-2012;0;0
XY-NHZ;0;0;0;0;1;25-01-2013;22;0
XY-NHZ;0;0;0;0;1;26-04-2011;0;0
XY-NHZ;0;1;1;11;0;26-04-2010;0;1969
XY-CMJ;0;0;0;0;1;07-06-2012;24;0
XY-CMJ;0;1;0;0;0;07-06-2013;140;0
XY-ZDY;0;1;1;28;0;16-04-2013;0;720
XY-ZDY;7;2;2;68;0;16-04-2012;0;3456
XY-ZDY;0;1;1;35;1;16-04-2011;0;22
XY-ZDY;1;1;1;42;1;16-04-2010;0;1
XY-PZC;2;1;1;43;0;04-03-2016;24;0
XY-YTM;3;1;1;13;0;10-02-2016;0;11
XY-YTM;2;1;1;36;1;10-02-2014;0;1
XY-PZC;1;1;1;40;1;04-03-2010;0;22
XY-PZC;0;0;0;0;2;04-03-2011;344;0
XY-YTM;1;1;1;24;1;10-02-2010;0;3094
XY-PZC;0;0;0;0;1;04-03-2012;0;322
XY-CMJ;2;1;1;10;1;07-06-2016;33;0
XY-PZC;0;0;0;0;1;04-03-2013;0;11
XY-OFW;1;1;1;46;3;02-05-2011;0;1484
XY-ZDY;3;1;1;9;0;11-04-2016;24;0
XY-FBA;0;0;0;0;1;28-06-2011;0;11
XY-OFW;0;0;0;0;1;02-05-2012;147;0
XY-YTM;0;0;0;0;1;10-12-2011;0;11
XY-OFW;0;0;0;0;1;02-05-2014;0;944
XY-YTM;0;0;0;0;1;10-12-2010;0;0
XY-FBA;0;0;0;0;1;28-06-2010;0;11
XY-YAZ;0;0;0;0;1;02-11-2011;24;0
XY-OFW;0;1;1;45;1;02-05-2016;0;1
XY-YAZ;1;1;1;13;0;02-11-2010;477;0
XY-ZDY;0;0;0;0;2;11-04-2011;1308;0
XY-YTM;2;1;1;28;0;10-12-2016;0;1816
XY-ZDY;0;1;1;41;0;11-04-2010;280;0
XY-FBA;0;0;0;0;2;28-06-2016;354;0
XY-FBA;0;0;0;0;1;28-06-2013;24;0
XY-OFW;0;1;1;26;1;02-05-2010;0;1
XY-FBA;3;1;1;20;0;28-06-2014;24;0
XY-ZDY;0;0;0;0;1;27-10-2013;529;0
XY-ZDY;1;1;1;22;0;27-10-2014;513;0
XY-ZDY;0;0;0;0;1;27-10-2015;0;11
XY-ZDY;2;1;1;36;2;27-10-2016;0;32
XY-NHZ;3;1;1;37;0;03-09-2016;0;1203
XY-ZDY;0;1;1;34;0;27-10-2011;0;0
XY-NHZ;0;0;0;0;1;03-09-2014;0;845
XY-IWX;0;0;0;0;1;23-10-2010;534;0
XY-NHZ;2;1;1;36;0;03-09-2011;24;0
XY-NHZ;2;1;1;16;1;03-09-2010;11;0
XY-IWX;0;0;0;0;1;23-10-2015;0;0
XY-IWX;0;1;1;15;1;23-10-2012;0;1
XY-IWX;3;1;1;17;0;23-10-2013;17;0
XY-LQZ;0;0;0;0;1;22-09-2011;138;0
XY-LQZ;0;0;0;0;1;22-09-2013;0;11
XY-LQZ;0;0;0;0;1;22-09-2012;0;11
XY-OHF;0;0;0;0;1;19-08-2012;0;11
XY-LQZ;1;1;1;49;1;22-09-2014;0;22
XY-OZH;1;1;1;20;1;14-03-2014;0;22
XY-OZH;2;1;1;20;0;14-03-2013;0;11
XY-ZMF;4;2;2;33;0;22-10-2015;48;0
XY-ZMF;2;2;2;51;0;31-03-2016;23;0
XY-ZMF;0;0;0;0;1;22-10-2012;0;11
XY-ZMF;1;2;1;32;0;22-10-2010;322;0
XY-ZMF;0;0;0;0;1;22-10-2011;24;0
XY-ZMF;0;0;0;0;1;31-03-2012;24;0
XY-JXR;0;1;1;26;1;19-11-2015;0;1
XY-JXR;0;1;1;16;1;19-11-2014;0;1338
XY-JXR;0;0;0;0;1;19-11-2016;326;0
XY-OZH;0;0;0;0;1;14-03-2010;179;0
XY-IWX;1;1;1;9;1;30-12-2010;48;0
XY-IWX;0;0;0;0;2;30-12-2011;0;22
XY-OZH;0;0;0;0;1;14-03-2012;287;0
XY-IWX;0;0;0;0;1;30-12-2012;0;117
XY-OZH;3;1;1;29;0;14-03-2011;20;0
XY-IWX;0;0;0;0;1;30-12-2013;0;0
XY-CMJ;2;2;2;59;0;27-05-2011;0;1
XY-CMJ;4;2;1;46;1;27-05-2010;574;0
XY-CMJ;1;1;1;9;0;27-05-2014;0;2103
XY-CMJ;1;1;1;27;0;27-05-2013;0;1455
XY-CMJ;0;1;1;17;2;12-11-2016;72;0
XY-CMJ;0;1;1;17;0;12-11-2014;0;0
XY-NHZ;0;0;0;0;2;14-05-2012;0;798
XY-NMY;0;0;0;0;2;02-09-2011;48;0
XY-NHZ;3;1;1;46;0;14-05-2010;380;0
XY-NHZ;0;0;0;0;1;14-05-2016;355;0
XY-ALV;2;1;0;0;0;14-06-2011;0;874
XY-YTM;0;0;0;0;1;30-01-2014;0;0
XY-NMY;0;0;0;0;1;02-09-2015;133;0
XY-NMY;0;0;0;0;2;02-09-2014;0;1
XY-ALV;0;0;0;0;1;14-06-2013;0;0
XY-YTM;0;1;1;27;0;30-01-2016;0;671
XY-NMY;3;1;1;16;0;02-09-2013;16;0
XY-NHZ;0;0;0;0;3;14-05-2015;0;3718
XY-ALV;0;0;0;0;1;14-06-2012;314;0
XY-YTM;4;2;2;54;0;30-01-2011;0;1
XY-CMJ;0;0;0;0;1;27-05-2016;0;0
XY-YTM;2;1;0;0;0;30-01-2013;192;0
XY-NHZ;0;0;0;0;2;19-05-2013;1120;0
XY-NHZ;0;0;0;0;2;19-05-2014;0;22
XY-NHZ;0;1;0;0;0;19-05-2015;0;1783
XY-FBA;1;2;2;45;0;08-04-2011;0;22
XY-NHZ;1;1;1;47;0;19-05-2016;24;0
XY-FBA;3;1;1;30;0;08-04-2014;0;11
XY-PZC;1;1;1;31;0;13-06-2012;0;11
XY-FBA;3;1;0;0;0;08-04-2013;0;11
XY-FBA;0;1;1;26;0;08-04-2016;0;849
XY-ALV;4;2;1;28;1;14-06-2015;0;32
XY-ALV;5;3;3;103;0;14-06-2014;64;0
XY-ZWJ;4;2;1;31;0;24-05-2016;0;2461
XY-LYP;0;0;0;0;2;09-05-2012;48;0
XY-LYP;0;0;0;0;2;09-05-2010;0;1
XY-LYP;0;0;0;0;2;09-05-2015;0;1
XY-LYP;0;0;0;0;2;09-05-2016;0;22
XY-NHZ;3;1;1;35;0;19-05-2011;8;0
XY-NHZ;0;0;0;0;1;19-05-2012;166;0
XY-IOO;0;1;0;0;0;30-05-2013;0;1348
XY-IOO;3;2;1;12;0;30-05-2014;342;0
XY-IOO;3;1;1;15;0;30-05-2015;0;0
XY-IOO;0;0;0;0;2;30-05-2016;0;1032
XY-ZWJ;0;0;0;0;1;24-05-2011;0;11
XY-ZWJ;0;0;0;0;1;24-05-2010;0;11
XY-ZWJ;0;0;0;0;1;24-05-2013;0;444
XY-ZWJ;0;0;0;0;3;24-05-2014;6;0
XY-LQZ;2;1;1;49;0;31-01-2011;0;11
XY-LQZ;1;1;0;0;0;31-01-2010;0;0
XY-LQZ;0;0;0;0;1;31-01-2014;16;0
XY-LQZ;0;1;1;39;0;31-01-2013;0;0
XY-YAZ;0;0;0;0;1;04-05-2010;14;0
XY-FBA;0;0;0;0;2;19-10-2011;0;22
XY-YAZ;0;1;1;34;0;04-05-2016;0;1346
XY-NHZ;1;1;1;19;0;17-11-2012;7;0
XY-YAZ;0;0;0;0;1;04-05-2015;0;0
XY-YAZ;0;0;0;0;1;11-07-2011;0;0
XY-NHZ;0;0;0;0;1;17-11-2013;0;1409
XY-NHZ;0;0;0;0;1;17-11-2010;0;0
XY-YAZ;1;1;1;18;2;04-05-2012;0;3617
XY-NHZ;0;1;1;47;0;17-11-2016;607;0
XY-YAZ;0;0;0;0;1;04-05-2014;0;0
XY-YAZ;1;1;1;24;0;11-07-2014;0;0
XY-NHZ;0;0;0;0;2;17-11-2014;0;1
XY-YAZ;2;1;1;44;0;04-05-2013;0;11
XY-NHZ;0;0;0;0;1;17-11-2015;3;0
XY-OFW;0;0;0;0;1;27-07-2012;0;0
XY-ZDY;5;2;2;81;1;07-11-2015;0;4351
XY-ZWJ;0;0;0;0;1;22-11-2015;3;0
XY-OFW;0;0;0;0;1;27-07-2013;24;0
XY-OFW;0;0;0;0;1;27-07-2010;0;0
XY-ZWJ;0;0;0;0;1;22-11-2013;0;11
XY-OFW;0;0;0;0;1;27-07-2016;586;0
XY-CMJ;2;2;1;35;0;16-09-2010;0;3714
XY-CMJ;0;0;0;0;1;16-09-2013;0;11
XY-ALV;1;1;1;14;1;19-06-2016;0;1
XY-FBA;1;1;1;30;0;19-10-2014;6;0
XY-IWX;3;1;1;22;0;03-11-2012;8;0
XY-CMJ;1;1;1;49;0;16-09-2012;0;0
XY-ALV;0;0;0;0;1;19-06-2015;2;0
XY-FBA;0;0;0;0;1;19-10-2015;0;0
XY-IWX;2;1;1;47;0;03-11-2013;20;0
XY-CMJ;0;0;0;0;1;16-09-2015;0;640
XY-ALV;2;2;1;46;0;19-06-2014;0;22
XY-FBA;3;1;1;43;0;19-10-2012;0;759
XY-ALV;3;1;1;24;2;19-06-2013;0;32
XY-ALV;0;1;1;18;1;19-06-2012;979;0
XY-ALV;3;1;1;45;0;19-06-2011;0;0
XY-ZDY;2;1;1;31;2;07-11-2016;0;1350
XY-ZWJ;1;1;1;16;1;22-11-2012;48;0
XY-ZWJ;0;0;0;0;1;22-11-2011;0;1458
XY-ZWJ;0;3;3;43;0;22-11-2010;0;1462
XY-NMY;2;1;1;17;0;22-08-2011;0;0
XY-NMY;0;0;0;0;1;22-08-2010;71;0
XY-NMY;1;1;1;26;0;22-08-2013;24;0
XY-NMY;0;0;0;0;1;22-08-2012;0;1651
XY-NMY;2;1;0;0;0;22-08-2014;0;1042
XY-YAZ;0;0;0;0;2;07-05-2016;0;3907
XY-ALV;5;2;2;24;0;28-09-2014;0;22
XY-JXR;0;0;0;0;1;18-08-2014;0;11
XY-JXR;3;1;1;49;0;18-08-2016;0;469
XY-ZMF;0;1;1;23;0;06-09-2012;0;1358
XY-ZMF;3;1;1;49;1;06-09-2013;0;241
XY-ZMF;2;1;1;10;0;06-09-2011;213;0
XY-YTM;5;2;2;87;1;31-01-2011;0;1
XY-ZMF;0;0;0;0;1;06-09-2016;0;748
XY-YTM;0;0;0;0;1;31-01-2013;207;0
XY-ZMF;2;1;1;42;0;06-09-2014;0;568
XY-ZMF;0;0;0;0;1;06-09-2015;22;0
XY-YTM;0;1;1;17;0;31-01-2015;0;11
XY-JXR;0;0;0;0;1;18-08-2010;17;0
XY-JXR;0;0;0;0;2;18-08-2012;0;1
XY-ZDY;1;1;1;10;0;15-04-2014;241;0
XY-OZH;3;1;0;0;0;25-09-2012;0;702
XY-ZDY;2;1;1;35;0;15-04-2010;465;0
XY-LYP;1;1;1;24;1;13-07-2016;840;0
XY-OZH;2;1;1;7;0;25-09-2016;0;11
XY-OZH;0;0;0;0;1;25-09-2015;4;0
XY-LYP;0;0;0;0;1;13-07-2015;496;0
XY-LYP;0;0;0;0;1;13-07-2010;536;0
XY-OZH;2;1;1;19;1;25-09-2010;0;22
XY-YAZ;0;1;1;28;1;07-05-2015;48;0
XY-YAZ;0;0;0;0;2;07-05-2013;0;22
XY-YAZ;2;1;1;37;0;03-11-2016;0;0
XY-NHZ;3;1;1;31;1;02-02-2010;0;22
XY-YAZ;2;1;1;49;0;03-11-2015;0;0
XY-NHZ;2;1;1;19;0;02-02-2013;0;0
XY-NHZ;0;0;0;0;1;02-02-2015;0;562
XY-NHZ;0;1;1;16;0;02-02-2014;9;0
XY-LYP;2;1;1;49;0;21-06-2012;0;11
XY-PZC;0;0;0;0;1;02-03-2016;0;11
XY-PZC;0;0;0;0;3;02-03-2015;0;1
XY-PZC;0;0;0;0;1;02-03-2014;0;11
XY-LYP;0;0;0;0;1;21-06-2011;0;1446
XY-PZC;2;1;1;44;0;02-03-2013;0;0
XY-LYP;0;0;0;0;2;21-06-2016;0;22
XY-PZC;0;1;1;17;0;02-03-2012;193;0
XY-LYP;6;2;2;41;0;21-06-2014;0;22
XY-YAZ;0;0;0;0;3;12-04-2012;0;1
XY-YAZ;0;0;0;0;3;03-11-2010;672;0
XY-YAZ;2;1;1;11;0;12-04-2014;0;714
XY-YAZ;2;1;1;7;0;12-04-2016;329;0
XY-YAZ;3;1;1;40;1;12-04-2015;0;4261
XY-YAZ;0;1;1;43;2;03-11-2012;0;3176
XY-YAZ;0;0;0;0;1;03-11-2011;0;1479
XY-YAZ;0;0;0;0;1;10-07-2016;0;0
XY-YAZ;0;0;0;0;1;10-07-2014;0;11
XY-YAZ;0;0;0;0;1;10-07-2015;0;1039
XY-YAZ;0;0;0;0;2;10-07-2012;0;1
XY-YAZ;0;0;0;0;1;10-07-2011;0;1624
XY-ZDY;4;1;1;45;0;06-11-2010;14;0
XY-ZDY;0;1;1;26;0;06-11-2012;367;0
XY-ZDY;3;1;1;19;0;06-11-2011;0;1856
XY-ZDY;1;1;1;41;2;06-11-2014;0;1
XY-CMJ;2;1;1;20;0;28-05-2015;0;0
XY-NMY;2;1;1;13;0;23-08-2014;0;11
XY-NMY;0;0;0;0;1;23-08-2016;24;0
XY-NMY;0;0;0;0;1;23-08-2015;467;0
XY-NMY;2;2;1;40;0;23-08-2012;0;1189
XY-CMJ;0;0;0;0;1;28-05-2010;0;277
XY-CMJ;0;0;0;0;2;28-05-2012;293;0
XY-OZH;0;0;0;0;1;22-02-2011;0;599
XY-OZH;0;0;0;0;1;22-02-2013;0;11
XY-NHZ;2;1;1;35;1;10-01-2010;1073;0
XY-NHZ;0;0;0;0;1;10-01-2012;0;11
XY-YAZ;3;1;1;9;0;20-03-2016;46;0
XY-PZC;0;0;0;0;3;10-02-2014;0;1
XY-YAZ;0;0;0;0;1;20-03-2011;0;11
XY-NMY;2;1;1;22;1;23-01-2013;0;22
XY-PZC;2;2;2;79;0;10-02-2015;0;1
XY-YAZ;1;1;1;42;1;20-03-2012;48;0
XY-YAZ;5;2;2;60;0;20-03-2013;0;82
XY-NMY;3;1;0;0;0;23-01-2011;0;615
XY-NMY;0;1;1;21;1;23-01-2010;0;22
XY-ALV;0;0;0;0;1;28-09-2012;0;11
XY-NMY;0;0;0;0;1;23-01-2016;0;108
XY-ALV;1;1;1;19;0;28-09-2013;92;0
XY-PZC;1;1;1;37;1;10-02-2016;0;513
XY-NMY;0;0;0;0;1;23-01-2015;0;11
XY-ALV;0;0;0;0;1;28-09-2010;0;997
XY-YAZ;0;0;0;0;1;20-03-2010;0;447
XY-NMY;0;1;1;32;0;23-01-2014;0;11
XY-YTM;0;0;0;0;1;21-05-2016;0;11
XY-YTM;1;1;1;41;0;21-05-2013;0;0
XY-YTM;0;0;0;0;1;21-05-2012;0;1217
XY-CMJ;0;0;0;0;1;02-09-2013;38;0
XY-ZMF;4;1;1;37;0;16-05-2011;0;0
XY-LYP;0;0;0;0;2;23-03-2010;48;0
XY-CMJ;0;0;0;0;1;02-09-2011;0;11
XY-LYP;0;0;0;0;1;23-03-2011;0;11
XY-CMJ;0;0;0;0;1;02-09-2012;0;11
XY-LYP;2;1;1;19;1;23-03-2012;44;0
XY-LYP;0;0;0;0;1;23-03-2013;24;0
XY-LYP;0;0;0;0;1;23-03-2015;594;0
XY-CMJ;1;1;1;29;0;02-09-2016;0;1108
XY-IWX;2;1;0;0;0;26-10-2013;0;11
XY-IWX;5;2;2;81;0;26-10-2014;0;4038
XY-IWX;0;0;0;0;1;26-10-2015;0;11
XY-IWX;0;0;0;0;1;26-10-2016;0;0
XY-YAZ;0;0;0;0;2;17-01-2011;48;0
XY-YAZ;0;0;0;0;1;17-01-2012;22;0
XY-IWX;1;1;0;0;2;26-10-2011;0;1
XY-IWX;1;1;1;39;1;26-10-2012;660;0
XY-PZC;0;1;1;18;2;10-09-2011;0;4798
XY-PZC;1;1;1;8;0;10-09-2014;0;0
XY-YAZ;5;2;2;71;0;09-02-2016;0;540
XY-YAZ;0;0;0;0;1;09-02-2015;332;0
XY-MBJ;0;0;0;0;1;14-08-2013;0;11
XY-YAZ;0;1;1;31;0;09-02-2011;0;0
XY-MBJ;2;1;1;17;0;14-08-2015;24;0
XY-MBJ;1;1;1;12;0;14-08-2016;0;558
XY-IWX;2;1;1;19;0;18-11-2015;64;0
XY-IWX;0;1;1;33;0;18-11-2011;0;11
XY-IWX;0;0;0;0;1;18-11-2012;0;0
XY-IWX;0;0;0;0;1;27-04-2012;0;0
XY-IWX;0;0;0;0;1;18-11-2010;0;1329
XY-IWX;3;1;1;19;0;27-04-2014;0;11
XY-IWX;1;1;1;14;1;27-04-2015;785;0
XY-NHZ;0;0;0;0;2;10-08-2015;0;1
XY-NHZ;0;0;0;0;1;10-08-2016;0;0
XY-NHZ;0;0;0;0;1;10-08-2013;0;0
XY-NHZ;0;0;0;0;2;10-08-2014;0;703
XY-NHZ;3;1;1;48;0;10-08-2012;0;0
XY-ZMF;0;0;0;0;2;15-11-2015;0;2918
XY-OZH;3;1;0;0;0;26-12-2014;0;0
XY-ZDY;3;1;1;30;1;25-07-2010;0;22
XY-YTM;0;0;0;0;1;12-12-2012;24;0
XY-YTM;0;0;0;0;1;29-09-2010;0;2003
XY-OZH;1;2;1;18;1;26-12-2011;0;4687
XY-YTM;0;0;0;0;1;12-12-2010;24;0
XY-LYP;0;0;0;0;2;14-10-2016;0;1
XY-OZH;3;1;1;41;1;26-12-2012;48;0
XY-YTM;0;0;0;0;1;12-12-2011;24;0
XY-LYP;2;1;0;0;0;14-10-2015;0;0
XY-NMY;3;1;1;36;2;15-02-2014;0;32
XY-NMY;0;0;0;0;1;15-02-2013;0;11
XY-ZDY;3;1;1;41;0;25-07-2015;24;0
XY-YTM;0;0;0;0;1;29-09-2012;0;554
XY-NMY;0;0;0;0;1;15-02-2012;0;2139
XY-ZDY;0;0;0;0;2;25-07-2016;4;0
XY-YTM;0;1;1;23;0;29-09-2013;0;1662
XY-ZDY;1;1;1;26;0;25-07-2013;0;0
XY-NMY;0;0;0;0;2;15-02-2010;0;847
XY-YTM;1;1;1;43;0;29-09-2016;0;0
XY-ZMF;0;0;0;0;1;07-12-2011;0;11
XY-YTM;0;0;0;0;3;13-06-2016;0;4262
XY-YTM;0;0;0;0;1;13-06-2015;24;0
XY-YTM;0;0;0;0;1;13-06-2012;24;0
XY-LYP;0;0;0;0;1;14-10-2013;332;0
XY-YTM;2;1;1;36;0;13-06-2011;24;0
XY-YTM;0;1;0;0;0;13-06-2010;24;0
XY-LYP;1;1;1;31;0;14-10-2011;0;0
XY-ZMF;0;0;0;0;1;08-06-2015;0;11
XY-ZMF;0;0;0;0;1;08-06-2010;0;0
XY-ZMF;0;0;0;0;1;08-06-2011;0;2081
XY-ZMF;0;0;0;0;2;08-06-2012;0;2272
XY-OFW;1;1;1;23;0;31-12-2016;0;0
XY-OFW;0;0;0;0;1;31-12-2015;0;457
XY-OFW;2;1;1;27;2;31-12-2014;1186;0
XY-OFW;0;0;0;0;1;31-12-2013;0;1132
XY-JXR;0;0;0;0;4;26-07-2011;39;0
XY-IWX;0;0;0;0;1;30-06-2016;0;0
XY-JXR;0;0;0;0;1;26-07-2012;24;0
XY-JXR;0;0;0;0;1;26-07-2014;0;11
XY-LYP;1;1;1;20;1;05-08-2012;0;1173
XY-IWX;2;1;1;19;0;30-06-2012;344;0
XY-LYP;2;1;1;29;0;05-08-2013;0;2071
XY-JXR;0;1;0;0;3;10-04-2013;1720;0
XY-IWX;0;0;0;0;1;30-06-2011;0;11
XY-JXR;0;0;0;0;1;10-04-2015;24;0
XY-LYP;3;1;1;47;0;05-08-2016;0;11
XY-LYP;0;0;0;0;2;05-08-2014;857;0
XY-IWX;0;0;0;0;2;30-06-2010;0;3107
XY-LYP;0;0;0;0;1;05-08-2015;0;954
XY-JXR;2;1;1;37;0;26-07-2016;0;11
XY-NMY;1;1;1;41;0;04-12-2015;0;1729
XY-NMY;0;0;0;0;1;04-12-2016;0;11
XY-ZWJ;3;1;1;15;0;09-10-2011;0;0
XY-ZWJ;3;1;0;0;0;09-10-2012;315;0
XY-IWX;0;1;1;30;1;19-05-2015;0;22
XY-IWX;1;1;1;46;0;19-05-2016;24;0
XY-IWX;0;0;0;0;1;19-05-2013;0;1988
XY-IWX;2;1;1;20;0;19-05-2014;0;11
XY-NMY;0;0;0;0;1;04-12-2010;0;11
XY-IWX;3;1;1;39;1;19-05-2012;0;197
XY-NMY;2;1;0;0;1;04-12-2011;686;0
XY-IWX;1;1;1;23;1;19-05-2010;997;0
XY-NMY;0;0;0;0;1;04-12-2013;0;0
XY-NMY;0;0;0;0;1;04-12-2014;24;0
XY-YAZ;3;1;1;10;0;17-01-2015;0;825
XY-YAZ;4;1;1;45;0;17-01-2016;0;11
XY-CMJ;0;0;0;0;2;31-07-2013;0;22
XY-CMJ;2;1;1;42;0;31-07-2014;0;375
XY-IOO;0;0;0;0;1;26-03-2011;0;11
XY-CMJ;2;2;2;66;0;31-07-2016;48;0
XY-IOO;5;2;2;49;0;26-03-2012;397;0
XY-IOO;0;0;0;0;1;26-03-2013;0;0
XY-CMJ;0;0;0;0;1;31-07-2010;0;11
XY-IOO;0;1;1;46;1;26-03-2014;0;1
XY-CMJ;2;1;0;0;1;31-07-2011;0;609
XY-IOO;0;0;0;0;1;26-03-2015;24;0
XY-CMJ;0;0;0;0;4;31-07-2012;0;2
XY-ZMF;2;1;0;0;0;07-12-2015;38;0
XY-ZMF;0;0;0;0;1;07-12-2014;0;481
XY-LYP;0;1;1;14;0;05-01-2010;518;0
XY-ZMF;0;0;0;0;1;07-12-2013;36;0
XY-LYP;2;1;1;17;1;05-01-2011;0;4018
XY-LYP;2;1;0;0;0;05-01-2012;23;0
XY-LYP;0;0;0;0;1;05-01-2013;0;985
XY-LYP;1;1;1;15;0;05-01-2014;12;0
XY-LYP;0;1;1;21;2;05-01-2015;84;0
XY-LYP;0;1;1;46;0;05-01-2016;0;11
XY-LYP;2;2;2;52;0;05-01-2017;23;0
XY-IWX;0;0;0;0;1;17-08-2015;0;1869
XY-ZWJ;0;0;0;0;1;16-06-2013;0;0
XY-IWX;6;2;2;84;3;17-08-2013;120;0
XY-ZWJ;3;2;2;79;0;16-06-2012;15;0
XY-IWX;3;1;1;27;0;17-08-2016;0;1432
XY-IOO;0;0;0;0;1;18-04-2010;0;0
XY-IOO;2;1;1;14;0;18-04-2016;221;0
XY-MBJ;1;1;1;26;1;06-02-2011;0;1
XY-ALV;7;2;1;29;0;04-03-2010;0;3341
XY-ALV;0;2;2;57;0;04-03-2012;48;0
XY-MBJ;2;2;2;82;0;06-02-2010;556;0
XY-MBJ;3;1;1;9;0;06-02-2015;253;0
XY-ALV;2;1;1;48;0;04-03-2014;9;0
XY-MBJ;2;1;1;19;0;06-02-2016;0;0
XY-MBJ;0;0;0;0;1;06-02-2013;288;0
XY-ALV;0;0;0;0;1;04-03-2016;561;0
XY-NHZ;0;0;0;0;1;29-08-2010;0;2095
XY-NHZ;0;0;0;0;1;29-08-2011;17;0
XY-NHZ;4;1;1;44;0;29-08-2012;24;0
XY-CMJ;0;0;0;0;1;11-11-2014;0;11
XY-CMJ;0;0;0;0;1;11-11-2015;0;1942
XY-CMJ;0;0;0;0;1;11-11-2012;24;0
XY-CMJ;1;1;1;47;0;11-11-2013;0;0
XY-NHZ;0;0;0;0;1;29-08-2016;0;189
XY-LQZ;0;1;1;41;0;08-10-2016;0;11
XY-LQZ;4;3;2;68;1;08-10-2015;0;2
XY-IWX;0;0;0;0;2;22-07-2015;7;0
XY-LQZ;0;1;0;0;0;08-10-2014;204;0
XY-IWX;0;1;1;31;2;22-07-2016;0;1
XY-IWX;0;0;0;0;1;22-07-2013;0;11
XY-ZWJ;0;0;0;0;2;16-06-2016;48;0
XY-LQZ;0;0;0;0;1;17-03-2014;0;423
XY-OFW;0;1;1;17;1;19-08-2015;441;0
XY-LQZ;1;1;0;0;1;08-10-2010;13;0
XY-LQZ;0;1;1;32;1;17-03-2016;0;1
XY-OFW;0;0;0;0;1;19-08-2013;0;11
XY-OFW;2;1;1;38;0;19-08-2012;0;0
XY-OFW;0;0;0;0;2;19-08-2011;0;1
XY-FBA;1;1;1;8;0;27-06-2011;177;0
XY-FBA;0;0;0;0;3;27-06-2010;37;0
XY-NMY;1;2;1;8;0;05-06-2010;48;0
XY-LQZ;0;1;1;14;0;17-03-2012;24;0
XY-NHZ;0;0;0;0;1;18-05-2011;0;11
XY-LQZ;0;0;0;0;1;17-03-2013;0;1266
XY-NHZ;0;0;0;0;1;18-05-2010;0;0
XY-FBA;3;2;2;71;0;27-06-2014;0;22
XY-YTM;2;1;1;45;0;11-09-2010;24;0
XY-ZMF;2;1;1;44;1;18-02-2013;0;4136
XY-ZMF;0;0;0;0;1;18-02-2010;0;1778
XY-ZMF;0;0;0;0;3;18-02-2011;72;0
XY-YTM;3;1;1;12;1;11-09-2016;0;1
XY-YTM;0;0;0;0;1;11-09-2015;3;0
XY-YTM;2;1;1;38;0;11-09-2012;312;0
XY-YTM;0;0;0;0;1;11-09-2011;24;0
XY-YTM;1;2;2;68;2;11-09-2014;0;43
XY-NMY;0;0;0;0;1;05-06-2012;0;0
XY-NHZ;0;0;0;0;1;18-05-2016;0;977
XY-NMY;2;1;1;25;0;05-06-2014;12;0
XY-NMY;0;1;1;15;1;05-06-2013;296;0
XY-NMY;0;0;0;0;1;05-06-2015;0;663
XY-IWX;2;1;1;45;1;08-02-2011;0;22
XY-IWX;0;0;0;0;1;08-02-2010;0;198
XY-IWX;1;1;1;47;0;08-02-2013;0;1479
XY-CMJ;2;2;2;42;3;15-02-2016;120;0
XY-IWX;0;0;0;0;1;08-02-2015;10;0
XY-CMJ;0;0;0;0;1;15-02-2014;443;0
XY-IWX;0;0;0;0;1;08-02-2014;0;0
XY-IWX;0;0;0;0;2;08-02-2016;1010;0
XY-ZMF;0;0;0;0;1;18-02-2016;13;0
XY-ZMF;2;1;1;41;1;18-02-2014;332;0
XY-YTM;0;1;1;11;2;02-03-2010;0;1
XY-CMJ;0;0;0;0;1;15-02-2012;0;11
XY-YTM;0;1;1;16;1;02-03-2013;701;0
XY-YTM;2;1;1;20;0;02-03-2011;0;0
XY-IWX;4;1;1;32;0;17-08-2011;0;34
